week,p2.5,p25,median,p75,p97.5
0,3.0,5.0,7.0,8.0,11.0
1,0.5,1.5,2.0,3.0,4.0
2,1.8,2.4,2.8,3.0,3.8
3,0.0,1.0,2.0,3.0,4.0
4,0.333,0.667,0.833,1.167,1.667
5,0.0,0.5,1.0,1.5,2.5
6,0.333,1.333,1.667,2.333,3.008
7,0.333,1.333,1.667,2.0,3.333
8,0.2,0.6,0.8,1.2,1.8
9,1.0,1.8,2.0,2.4,3.2
10,0.727,1.0,1.182,1.364,1.727
11,0.333,0.667,1.0,1.167,1.667
12,0.2,0.6,0.8,1.0,1.6
13,0.2,0.4,0.6,1.0,1.4
14,0.2,0.4,0.8,1.0,1.6
15,0.111,0.222,0.333,0.556,0.778
16,0.0,0.25,0.5,0.75,1.25
17,0.143,0.429,0.571,0.714,1.143
18,0.0,0.2,0.4,0.6,1.0
19,0.0,0.0,0.25,0.25,0.75
20,0.0,0.167,0.333,0.333,0.667
21,0.0,0.5,1.0,1.5,2.5
22,0.0,1.0,1.0,2.0,4.0
23,0.0,0.667,0.667,1.0,1.667
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,1.0,2.0,2.0,4.0
28,1.0,2.0,2.333,3.0,3.667
29,0.333,0.667,1.0,1.667,2.333
30,3.0,4.0,5.0,6.0,9.0
31,0.0,0.333,0.667,1.0,1.667
32,0.0,0.0,0.0,0.0,1.0
33,0.0,0.0,0.0,0.5,1.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.25,0.25,0.5,1.0
36,0.0,0.0,0.2,0.4,0.6
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,1.0,2.0,3.0,4.0,6.0
41,0.0,0.5,0.5,1.0,2.0
42,0.0,0.333,0.333,0.667,1.0
43,0.0,0.0,0.0,0.0,0.0
44,0.0,2.0,2.0,3.0,5.0
45,0.0,0.0,0.0,0.0,0.0
46,0.2,0.4,0.6,0.8,1.0
47,0.0,0.0,0.0,0.0,0.5
48,0.0,0.0,0.5,0.5,1.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
