week,p2.5,p25,median,p75,p97.5
0,0.0,1.0,1.0,2.0,3.0
1,0.0,0.0,0.5,0.5,1.0
2,0.6,0.8,1.0,1.0,1.4
3,0.0,0.0,1.0,2.0,3.0
4,0.0,0.0,0.0,0.167,0.167
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,1.0,1.333,1.333,1.333,1.333
8,0.6,1.0,1.4,1.6,2.0
9,0.4,1.0,1.2,1.4,1.805
10,0.273,0.364,0.455,0.545,0.727
11,0.167,0.333,0.5,0.667,0.833
12,0.0,0.0,0.2,0.2,0.4
13,0.2,0.4,0.6,0.8,1.0
14,0.4,0.6,0.6,0.8,1.0
15,0.0,0.125,0.125,0.25,0.375
16,0.0,0.25,0.5,0.5,0.75
17,0.0,0.0,0.143,0.143,0.286
18,0.4,0.4,0.4,0.6,0.6
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.167,0.167
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,1.0,1.0,2.0
31,0.333,0.667,0.667,1.0,1.0
32,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.2,0.2
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0
41,0.5,1.0,1.5,1.5,2.0
42,0.667,0.667,0.667,0.667,0.667
43,0.0,0.0,0.0,0.0,0.0
44,1.0,2.0,2.0,3.0,4.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
