LOG: HEADERS:
Run,Day,outbreakDuration,versionMajor,versionMinor,versionRelease,infnU,firstDetAInf,infnUDir,infnUInd,infnUAir,infnUIni,infnUSwine,infnUCattle,infcAAirCattle,infcADirCattle,infnUDirSwine,infnUDirCattle,infnUIndSwine,infnUIndCattle,infnUAirSwine,infnUAirCattle,infnUIniSwine,infnUIniCattle,infcU,firstDetUInf,infcUDir,infcUInd,infcUAir,infcUIni,infcUSwine,infcUCattle,infcAAirSwine,infcADirSwine,infcUDirSwine,infcUDirCattle,infcUIndSwine,infcUIndCattle,infcUAirSwine,infcUAirCattle,infcUIniSwine,infcUIniCattle,infnA,infcAIniCattle,infnADir,infnAInd,infnAAir,infnAIni,infnASwine,infnACattle,infcAIndCattle,infcAIndSwine,infnADirSwine,infnADirCattle,infnAIndSwine,infnAIndCattle,infnAAirSwine,infnAAirCattle,infnAIniSwine,infnAIniCattle,infcA,infcAIniSwine,infcADir,infcAInd,infcAAir,infcAIni,infcASwine,infcACattle,expnU,expcADirSwine,expnUDir,expnUInd,expnUAir,expcAAirCattle,expnUSwine,expnUCattle,expcADirCattle,adqcU,expnUDirSwine,expnUDirCattle,expnUIndSwine,expnUIndCattle,expnUAirSwine,expnUAirCattle,expcASwine,expcAIndSwine,expcU,adqcUAir,expcUDir,expcUInd,expcUAir,expcAAirSwine,expcUSwine,expcUCattle,adqnUAir,adqnU,expcUDirSwine,expcUDirCattle,expcUIndSwine,expcUIndCattle,expcUAirSwine,expcUAirCattle,adqnUDir,expcAAir,expnA,adqcUInd,expnADir,expnAInd,expnAAir,expcAIndCattle,expnASwine,expnACattle,adqnUInd,expcADir,expnADirSwine,expnADirCattle,expnAIndSwine,expnAIndCattle,expnAAirSwine,expnAAirCattle,expcACattle,expcAInd,expcA,adqcUDir,zoneAreaHighRisk,zoneAreaMediumRisk,zonePerimeterHighRisk,zonePerimeterMediumRisk,numSeparateAreasHighRisk,numSeparateAreasMediumRisk,unitsInZoneHighRisk,unitsInZoneMediumRisk,unitsInZoneBackground,unitsInZoneHighRiskSwine,unitsInZoneHighRiskCattle,unitsInZoneMediumRiskSwine,unitsInZoneMediumRiskCattle,unitsInZoneBackgroundSwine,unitsInZoneBackgroundCattle,unitDaysInZoneHighRisk,unitDaysInZoneMediumRisk,unitDaysInZoneBackground,unitDaysInZoneHighRiskSwine,unitDaysInZoneHighRiskCattle,unitDaysInZoneMediumRiskSwine,unitDaysInZoneMediumRiskCattle,unitDaysInZoneBackgroundSwine,unitDaysInZoneBackgroundCattle,animalDaysInZoneHighRisk,animalDaysInZoneMediumRisk,animalDaysInZoneBackground,animalDaysInZoneHighRiskSwine,animalDaysInZoneHighRiskCattle,animalDaysInZoneMediumRiskSwine,animalDaysInZoneMediumRiskCattle,animalDaysInZoneBackgroundSwine,animalDaysInZoneBackgroundCattle,tsdUSusc,tsdULat,tsdUSubc,tsdUClin,tsdUNImm,tsdUVImm,tsdUDest,tsdASusc,tsdALat,tsdASubc,tsdAClin,tsdANImm,tsdAVImm,tsdADest,tsdUSuscSwine,tsdUSuscCattle,tsdULatSwine,tsdULatCattle,tsdUSubcSwine,tsdUSubcCattle,tsdUClinSwine,tsdUClinCattle,tsdUNImmSwine,tsdUNImmCattle,tsdUVImmSwine,tsdUVImmCattle,tsdUDestSwine,tsdUDestCattle,tsdASuscSwine,tsdASuscCattle,tsdALatSwine,tsdALatCattle,tsdASubcSwine,tsdASubcCattle,tsdAClinSwine,tsdAClinCattle,tsdANImmSwine,tsdANImmCattle,tsdAVImmSwine,tsdAVImmCattle,tsdADestSwine,tsdADestCattle,diseaseDuration,deswU,deswUSwine,deswUCattle,deswA,deswASwine,deswACattle,deswUMax,deswUMaxDay,deswAMax,deswAMaxDay,deswUTimeMax,deswUTimeAvg,deswUDaysInQueue,deswADaysInQueue,destrOccurred,firstDestruction,desnADirFwdCattle,firstDestructionRing,firstDestructionDirFwd,firstDestructionIndFwd,firstDestructionDirBack,firstDestructionIndBack,firstDestructionDet,descAIndFwdSwine,desnAIndFwdSwine,descARing,firstDestructionSwine,firstDestructionCattle,descARingCattle,descA,firstDestructionRingSwine,firstDestructionRingCattle,firstDestructionDirFwdSwine,firstDestructionDirFwdCattle,firstDestructionIndFwdSwine,firstDestructionIndFwdCattle,firstDestructionDirBackSwine,firstDestructionDirBackCattle,firstDestructionIndBackSwine,firstDestructionIndBackCattle,firstDestructionDetSwine,firstDestructionDetCattle,descARingSwine,desnADirBackSwine,desnAIndFwdCattle,descAIndFwd,descADirFwd,desnADirBackCattle,desnU,descAIniCattle,desnURing,desnUDirFwd,desnUIndFwd,desnUDirBack,desnUIndBack,desnUDet,desnUIni,descAIniSwine,descADetCattle,desnUSwine,desnUCattle,descACattle,descADirBack,desnURingSwine,desnURingCattle,desnUDirFwdSwine,desnUDirFwdCattle,desnUIndFwdSwine,desnUIndFwdCattle,desnUDirBackSwine,desnUDirBackCattle,desnUIndBackSwine,desnUIndBackCattle,desnUDetSwine,desnUDetCattle,desnUIniSwine,desnUIniCattle,descASwine,desnAIniCattle,descADirFwdSwine,desnAIniSwine,descU,descADetSwine,descURing,descUDirFwd,descUIndFwd,descUDirBack,descUIndBack,descUDet,descUIni,descAIndBackCattle,descAIndBackSwine,descUSwine,descUCattle,descADirFwdCattle,desnADetCattle,descURingSwine,descURingCattle,descUDirFwdSwine,descUDirFwdCattle,descUIndFwdSwine,descUIndFwdCattle,descUDirBackSwine,descUDirBackCattle,descUIndBackSwine,descUIndBackCattle,descUDetSwine,descUDetCattle,descUIniSwine,descUIniCattle,descAIni,desnADetSwine,descADet,desnAIndBackCattle,desnA,descADirBackCattle,desnARing,desnADirFwd,desnAIndFwd,desnADirBack,desnAIndBack,desnADet,desnAIni,descADirBackSwine,descAIndFwdCattle,desnASwine,desnACattle,descAIndBack,desnAIndBackSwine,desnARingSwine,desnARingCattle,desnADirFwdSwine

1,1,,3,5,0,1,,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,,1,0,0,1,1,0,0,52,1,0,0,0,0,0,1,0,52,0,52,0,0,657,52,0,0,0,52,0,0,0,0,0,657,0,52,657,52,0,0,657,52,0,5,260,5,0,0,0,5,0,0,5,5,0,0,0,0,0,260,0,5,0,5,0,0,0,5,0,0,5,5,0,0,0,0,0,5,0,260,0,260,0,0,0,260,0,0,260,260,0,0,0,0,0,0,0,260,5,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,3957,0,0,0,0,460,3497,0,0,1.15683e+06,0,0,0,0,133002,1.02382e+06,3956,0,0,1,0,0,0,1.15617e+06,0,0,657,0,0,0,459,3497,0,0,0,0,1,0,0,0,0,0,0,0,132345,1.02382e+06,0,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,,3,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,1,1,0,0,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,657,52,0,0,657,52,0,4,1574,2,2,0,0,4,0,0,8,2,0,2,0,0,0,1678,104,9,0,7,2,0,0,9,0,0,3,7,0,2,0,0,0,2,0,1418,1,1314,104,0,0,1418,0,1,1574,1314,0,104,0,0,0,0,104,1678,7,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,7914,0,0,0,0,920,6994,0,0,2.31365e+06,0,0,0,0,266004,2.04765e+06,3955,1,0,1,0,0,0,1.15612e+06,52,0,657,0,0,0,458,3497,1,0,0,0,1,0,0,0,0,0,0,0,132293,1.02382e+06,52,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,,3,5,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,,2,0,0,1,2,0,0,245,2,0,0,0,0,0,1,0,193,0,193,0,0,0,193,0,0,0,193,0,0,0,0,0,0,0,245,657,245,0,0,657,245,0,7,3842,6,1,0,0,7,0,0,14,6,0,1,0,0,0,3998,156,16,0,13,3,0,0,16,0,0,6,13,0,3,0,0,0,6,0,2320,1,2268,52,0,0,2320,0,0,3842,2268,0,52,0,0,0,0,156,3998,13,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,11871,0,0,0,0,1380,10491,0,0,3.47048e+06,0,0,0,0,399006,3.07147e+06,3955,1,0,1,0,0,0,1.15612e+06,52,0,657,0,0,0,458,3497,1,0,0,0,1,0,0,0,0,0,0,0,132293,1.02382e+06,52,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,,3,5,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,,3,0,0,1,3,0,0,371,3,0,0,0,0,0,1,0,126,0,126,0,0,0,126,0,0,0,126,0,0,0,0,0,0,0,371,657,371,0,0,657,371,0,6,6722,6,0,0,0,6,0,0,18,6,0,0,0,0,0,6878,156,22,0,19,3,0,0,22,0,0,4,19,0,3,0,0,0,4,0,2880,1,2880,0,0,0,2880,0,0,6722,2880,0,0,0,0,0,0,156,6878,17,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,15828,0,0,0,0,1840,13988,0,0,4.6273e+06,0,0,0,0,532008,4.0953e+06,3954,2,0,1,0,0,0,1.15592e+06,245,0,657,0,0,0,457,3497,2,0,0,0,1,0,0,0,0,0,0,0,132100,1.02382e+06,245,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,,3,5,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,,4,0,0,1,4,0,0,486,4,0,0,0,0,0,1,0,115,0,115,0,0,0,115,0,0,0,115,0,0,0,0,0,0,0,486,657,486,0,0,657,486,0,9,7616,8,1,0,0,9,0,0,26,8,0,1,0,0,0,7932,316,31,0,27,4,0,0,31,0,0,8,27,0,4,0,0,0,8,0,1054,1,894,160,0,0,1054,0,0,7616,894,0,160,0,0,0,0,316,7932,25,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,19785,0,0,0,0,2300,17485,0,0,5.78413e+06,0,0,0,0,665010,5.11912e+06,3953,3,0,1,0,0,0,1.1558e+06,371,0,657,0,0,0,456,3497,3,0,0,0,1,0,0,0,0,0,0,0,131974,1.02382e+06,371,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,,3,5,0,1,,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5,,4,1,0,1,5,0,0,486,4,0,1,0,0,0,1,0,160,0,0,160,0,0,160,0,0,160,0,0,160,0,0,0,0,0,646,657,486,160,0,657,646,0,19,10625,17,2,0,0,19,0,0,42,17,0,2,0,0,0,11216,591,50,0,44,6,0,0,50,0,0,16,44,0,6,0,0,0,15,0,3284,2,3009,275,0,0,3284,0,1,10625,3009,0,275,0,0,0,0,591,11216,40,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,23742,0,0,0,0,2760,20982,0,0,6.94096e+06,0,0,0,0,798012,6.14294e+06,3952,4,0,1,0,0,0,1.15568e+06,486,0,657,0,0,0,455,3497,4,0,0,0,1,0,0,0,0,0,0,0,131859,1.02382e+06,486,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,,3,5,0,2,,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,7,,6,1,0,1,7,0,0,1541,6,0,1,0,0,0,1,0,1055,0,1055,0,0,0,1055,0,0,160,1055,0,0,0,0,0,0,0,1701,657,1541,160,0,657,1701,0,20,14459,20,0,0,0,20,0,0,62,20,0,0,0,0,0,15050,591,70,0,64,6,0,0,70,0,0,20,64,0,6,0,0,0,20,0,3834,2,3834,0,0,0,3834,0,0,14459,3834,0,0,0,0,0,0,591,15050,60,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,27699,0,0,0,0,3220,24479,0,0,8.09778e+06,0,0,0,0,931014,7.16677e+06,3951,5,0,1,0,0,0,1.15552e+06,646,0,657,0,0,0,454,3497,5,0,0,0,1,0,0,0,0,0,0,0,131699,1.02382e+06,646,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,,3,5,0,4,,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,11,,10,1,0,1,11,0,0,2046,10,0,1,0,0,0,1,0,505,0,505,0,0,0,505,0,0,160,505,0,0,0,0,0,0,0,2206,657,2046,160,0,657,2206,0,25,18108,25,0,0,0,25,0,0,85,25,0,0,0,0,0,18699,591,95,0,89,6,0,0,95,0,0,23,89,0,6,0,0,0,23,0,3649,2,3649,0,0,0,3649,0,0,18108,3649,0,0,0,0,0,0,591,18699,83,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,31656,0,0,0,0,3680,27976,0,0,9.25461e+06,0,0,0,0,1.06402e+06,8.19059e+06,3949,7,0,1,0,0,0,1.15447e+06,1701,0,657,0,0,0,452,3497,7,0,0,0,1,0,0,0,0,0,0,0,130644,1.02382e+06,1701,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9,,3,5,0,3,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,14,,13,1,0,1,14,0,0,3760,13,0,1,0,0,0,1,0,1714,0,1714,0,0,0,1714,0,0,160,1714,0,0,0,0,0,0,0,3920,657,3760,160,0,657,3920,0,27,25458,27,0,0,0,27,0,0,111,27,0,0,0,0,0,26049,591,122,0,116,6,0,0,122,0,0,26,116,0,6,0,0,0,26,0,7350,2,7350,0,0,0,7350,0,0,25458,7350,0,0,0,0,0,0,591,26049,109,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,35613,0,0,0,0,4140,31473,0,0,1.04114e+07,0,0,0,0,1.19702e+06,9.21442e+06,3945,11,0,1,0,0,0,1.15396e+06,2206,0,657,0,0,0,448,3497,11,0,0,0,1,0,0,0,0,0,0,0,130139,1.02382e+06,2206,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,,3,5,0,4,,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,18,,17,1,0,1,18,0,0,4435,17,0,1,0,0,0,1,0,675,0,675,0,0,0,675,0,0,160,675,0,0,0,0,0,0,0,4595,657,4435,160,0,657,4595,0,39,33079,38,1,0,0,39,0,0,148,38,0,1,0,0,0,33722,643,161,0,154,7,0,0,161,0,0,37,154,0,7,0,0,0,36,0,7673,3,7621,52,0,0,7673,0,1,33079,7621,0,52,0,0,0,0,643,33722,145,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,39570,0,0,0,0,4600,34970,0,0,1.15683e+07,0,0,0,0,1.33002e+06,1.02382e+07,3942,14,0,1,0,0,0,1.15225e+06,3920,0,657,0,0,0,445,3497,14,0,0,0,1,0,0,0,0,0,0,0,128425,1.02382e+06,3920,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11,,3,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,,17,1,0,1,18,0,0,4435,17,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,4595,657,4435,160,0,657,4595,0,35,43305,35,0,0,0,35,0,0,181,35,0,0,0,0,0,43948,643,196,0,189,7,0,0,196,0,0,33,189,0,7,0,0,0,33,0,10226,3,10226,0,0,0,10226,0,0,43305,10226,0,0,0,0,0,0,643,43948,178,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,43527,0,0,0,0,5060,38467,0,0,1.27251e+07,0,0,0,0,1.46302e+06,1.12621e+07,3938,18,0,0,1,0,0,1.15157e+06,4595,0,0,657,0,0,441,3497,18,0,0,0,0,0,1,0,0,0,0,0,127750,1.02382e+06,4595,0,0,0,0,0,657,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,,3,5,0,2,,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,20,,19,1,0,1,20,0,0,5069,19,0,1,0,0,0,1,0,634,0,634,0,0,0,634,0,0,160,634,0,0,0,0,0,0,0,5229,657,5069,160,0,657,5229,0,45,54289,45,0,0,0,45,0,0,222,45,0,0,0,0,0,54932,643,241,0,234,7,0,0,241,0,0,41,234,0,7,0,0,0,41,0,10984,3,10984,0,0,0,10984,0,0,54289,10984,0,0,0,0,0,0,643,54932,219,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,47484,0,0,0,0,5520,41964,0,0,1.38819e+07,0,0,0,0,1.59602e+06,1.22859e+07,3938,18,0,0,1,0,0,1.15157e+06,4595,0,0,657,0,0,441,3497,18,0,0,0,0,0,1,0,0,0,0,0,127750,1.02382e+06,4595,0,0,0,0,0,657,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,13,,3,5,0,4,,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,24,,23,1,0,1,24,0,0,6185,23,0,1,0,0,0,1,0,1116,0,1116,0,0,0,1116,0,0,160,1116,0,0,0,0,0,0,0,6345,657,6185,160,0,657,6345,0,51,71938,51,0,0,0,51,0,0,272,51,0,0,0,0,0,72581,643,292,0,285,7,0,0,292,0,0,50,285,0,7,0,0,0,50,0,17649,3,17649,0,0,0,17649,0,0,71938,17649,0,0,0,0,0,0,643,72581,269,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,51441,0,0,0,0,5980,45461,0,0,1.50387e+07,0,0,0,0,1.72903e+06,1.33097e+07,3936,20,0,0,1,0,0,1.15094e+06,5229,0,0,657,0,0,439,3497,20,0,0,0,0,0,1,0,0,0,0,0,127116,1.02382e+06,5229,0,0,0,0,0,657,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14,,3,5,0,3,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,27,,26,1,0,1,27,0,0,6865,26,0,1,0,0,0,1,0,680,0,680,0,0,0,680,0,0,160,680,0,0,0,0,0,0,0,7025,657,6865,160,0,657,7025,0,65,89575,62,3,0,0,65,0,0,333,62,0,3,0,0,0,91725,2150,357,0,347,10,0,0,357,0,0,61,347,0,10,0,0,0,61,0,19144,3,17637,1507,0,0,19144,0,0,89575,17637,0,1507,0,0,0,0,2150,91725,330,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,55398,0,0,0,0,6440,48958,0,0,1.61956e+07,0,0,0,0,1.86203e+06,1.43335e+07,3932,22,1,1,1,0,0,1.14982e+06,6100,52,193,657,0,0,435,3497,22,0,1,0,1,0,1,0,0,0,0,0,126000,1.02382e+06,6100,0,52,0,193,0,657,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,,3,5,0,3,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,30,,29,1,0,1,30,0,0,7545,29,0,1,0,0,0,1,0,680,0,680,0,0,0,680,0,0,160,680,0,0,0,0,0,0,0,7705,657,7545,160,0,657,7705,0,70,107207,67,3,0,0,70,0,0,396,67,0,3,0,0,0,110266,3059,427,0,414,13,0,0,427,0,0,63,414,0,13,0,0,0,62,0,18541,4,17632,909,0,0,18541,0,1,107207,17632,0,909,0,0,0,0,3059,110266,392,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,59355,0,0,0,0,6900,52455,0,0,1.73524e+07,0,0,0,0,1.99503e+06,1.53574e+07,3929,25,0,2,1,0,0,1.14914e+06,6780,0,245,657,0,0,432,3497,25,0,0,0,2,0,1,0,0,0,0,0,125320,1.02382e+06,6780,0,0,0,245,0,657,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,,3,5,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,31,,30,1,0,1,31,0,0,7830,30,0,1,0,0,0,1,0,285,0,285,0,0,0,285,0,0,160,285,0,0,0,0,0,0,0,7990,657,7830,160,0,657,7990,0,77,124657,76,1,0,0,77,0,0,471,76,0,1,0,0,0,127768,3111,504,0,490,14,0,0,504,0,0,75,490,0,14,0,0,0,75,0,17502,4,17450,52,0,0,17502,0,0,124657,17450,0,52,0,0,0,0,3111,127768,467,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,63312,0,0,0,0,7360,55952,0,0,1.85092e+07,0,0,0,0,2.12803e+06,1.63812e+07,3926,26,2,2,1,0,0,1.14846e+06,7219,241,245,657,0,0,429,3497,26,0,2,0,2,0,1,0,0,0,0,0,124640,1.02382e+06,7219,0,241,0,245,0,657,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
